first_name,last_name,school,position,height,weight,40time,bench,vert,broad,shuttle,3cone
Michael,Coe,North Dakota,C,73,309,5.4,,,,,
Chase,Roullier,Wyoming,C,76,312,5.54,19,26.5,97,4.47,7.6
Max,Halpin,Western Kentucky,C,75,300,5.35,,,,,
Jay,Guillermo,Clemson,C,75,298,5.48,,,,,
Deyshawn,Bond,Cincinnati,C,73,300,5.23,,,,,
Brian,Gaia,Penn State,C,74,292,5.17,,,,,
Freddie,Burden,Georgia Tech,C,75,302,5.17,,,,,
Tobijah,Hughley,Louisville,C,73,304,5.64,,,,,
Lucas,Crowley,North Carolina,C,74,294,5.38,,,,,
Xavier,Dampeer,Auburn,C,75,308,5.16,,,,,
Mark,Spelman,Illinois State,C,74,299,5.28,,,,,
Anthony,McMeans,New Mexico State,C,73,316,5.74,,,,,
Alex,Kelley,Colorado,C,74,327,5.49,,,,,
Jamaal,Clayborn,Mississippi State,C,76,316,5.64,,,,,
Joe,Scelfo,North Carolina State,C,72,293,5.32,,,,,
Gavin,Andrews,Oregon State,C,77,334,5.43,,,,,
Austin,Stephens,Utah State,C,75,309,5.21,,,,,
Eddie,Gordon,Louisiana,C,73,310,5.07,,,,,
Aaron,Cox,Grand Valley State,C,76,300,5.16,,,,,
Riley,Sorenson,Washington State,C,76,327,5.73,,,,,
Michael,Selby,Marshall,C,73,295,5.49,,,,,
Derrick,Nelson,Rutgers,C,75,298,5.44,,,,,
Joe,Spencer,Illinois,C,74,289,5.5,,,,,
Michael,Wilson,Oklahoma State,C,78,295,5.29,,,,,
Andy,Kwon,Georgia Southern,C,73,295,5.57,,,,,
Parker,Dawe,Brigham Young,C,74,298,5.22,,,,,
Barrett,Gouger,Vanderbilt,C,76,309,5.23,,,,,
Dylan,Utter,Nebraska,C,74,298,5.39,,,,,
Michael,Montero,Florida International,C,73,299,5.48,,,,,
Dillon,DeBoer,Florida Atlantic,C,77,302,5.35,,,,,
Joseph,Brunson,Louisiana Tech,C,76,311,5.64,,,,,
Will,Kreitler,UNLV,C,72,292,5.16,,,,,
Jacob,Vazquez,Fresno State,C,75,292,5.59,,,,,
Anthony,Pullins,Stephen F. Austin,C,73,310,5.46,,,,,
Nathan,Goltry,Nevada,C,72,307,5.5,,,,,
Joe,Loschiavo,Slippery Rock,C,75,312,5.51,,,,,
Steven,Matlock,Idaho,C,74,270,5.17,,,,,
Fabian,Hoeller,Massachusetts,C,74,291,5.5,,,,,
Marcus,Cook,Jackson State,C,73,323,5.68,,,,,
Kirby,Wixson,Louisiana Tech,C,75,315,5.38,,,,,
Kerry,Williams,Alabama State,C,73,316,5.63,,,,,
Max,Andrews,Maine,C,74,282,5.06,,,,,
Ryan,Ramczyk,Wisconsin,OT,78,310,5.29,25,,,,
Garett,Bolles,Utah,OT,77,297,4.95,,28.0,115,4.55,7.29
Cam,Robinson,Alabama,OT,78,322,5.15,,26.0,106,4.82,7.81
Dion,Dawkins,Temple,OT,76,314,5.11,26,26.0,106,4.78,7.3
Taylor,Moton,Western Michigan,OT,77,319,5.18,23,30.5,109,4.58,7.73
Antonio,Garcia,Troy,OT,78,302,5.15,24,31.0,108,4.94,7.98
Roderick,Johnson,Florida State,OT,79,298,4.9,,,,,
Julien,Davenport,Bucknell,OT,79,318,5.45,18,27.0,106,4.69,7.57
David,Sharpe,Florida,OT,78,343,5.44,19,20.5,97,4.78,7.87
Will,Holden,Vanderbilt,OT,79,311,5.47,23,28.0,111,4.72,7.71
J.J.,Dielman,Utah,OT,77,309,5.09,27,,,,
Chad,Wheeler,Southern California,OT,79,306,5.48,15,20.5,105,5.01,
Conor,McDermott,UCLA,OT,80,307,5.18,,28.5,105,4.58,7.52
Adam,Bisnowaty,Pittsburgh,OT,78,304,5.23,23,29.5,96,4.94,8.02
Erik,Magnuson,Michigan,OT,77,305,5.41,,,,,
Sam,Tevi,Utah,OT,77,311,5.27,15,26.0,107,4.6,7.84
Dan,Skipper,Arkansas,OT,82,309,5.42,,26.0,97,5.01,7.61
Andrew,Eide,Brigham Young,OT,77,302,5.2,,,,,
Dieugot,Joseph,Florida International,OT,78,293,5.21,,,,,
Kent,Perkins,Texas,OT,77,320,5.28,,,,,
Brad,Seaton,Villanova,OT,81,329,5.37,,,,,
Storm,Norton,Toledo,OT,79,307,5.12,,,,,
Jylan,Ware,Alabama State,OT,79,317,4.99,,,,,
Jerry,Ugokwe,William & Mary,OT,79,321,5.61,18,26.0,103,5.17,8.35
Taylor,Gadbois,Southeastern Louisiana,OT,79,315,4.94,,,,,
Levon,Myers,Northern Illinois,OT,77,309,5.41,,,,,
