first_name,last_name,school,position,height,weight,40time,bench,vert,broad,shuttle,3cone
Dalton,Parks,Tulsa,P,75,209,4.94,,,,,
Worth,Gregory,East Carolina,P,75,204,5.05,,,,,
Caleb,Houston,Central Florida,P,73,239,5.26,,,,,
Andy,Teasdall,Clemson,P,71,188,4.9,,,,,
Brandon,McKee,South Alabama,P,73,194,4.96,,,,,
Colby,Wadman,California-Davis,P,73,204,4.94,,,,,
Matt,Haack,Arizona State,P,72,202,4.57,,,,,
Hunter,Windmuller,William & Mary,P,75,181,4.91,,,,,
Lumi,Kaba,Texas State,P,73,189,4.97,,,,,
Bentlee,Critcher,Appalachian State,P,71,196,4.97,,,,,
Sean,Wale,Boise State,P,74,194,4.93,,,,,
Ron,Coluzzi,Iowa,P,71,195,4.89,,,,,
Ethan,Wood,Wyoming,P,74,174,4.86,,,,,
Kevin,Phillips,Auburn,P,72,185,4.96,,,,,
Ryan,Rodwell,Georgia Tech,P,73,202,5.06,,,,,
Tyler,Sarrazin,Southern Miss,P,76,210,4.97,,,,,
Tanner,Blain,San Diego State,P,72,196,5.04,,,,,
Adam,Searl,UCLA,P,72,200,5.07,,,,,
Ryan,Frain,Illinois,P,73,224,4.99,,,,,
Will,Stephenson,Delaware,P,74,200,4.98,,,,,
Gunnar,Kane,James Madison,P,73,218,5.16,,,,,
Nick,Ellis,Toledo,P,69,185,4.94,,,,,
Ryan,Kay,Troy,P,73,225,5.24,,,,,
Dylan,Kegans,Northern Arizona,P,73,200,4.86,,,,,
Zach,Smith,Chadron State,P,70,222,5.2,,,,,
Evan,Stahl,Millersville,P,72,198,5.08,,,,,
Alex,Knight,Southeast Missouri,P,73,199,,,,,,
Lawrence,Forbes,Morgan State,P,75,190,,,,,,
Ryan,VanGoethem,Michigan Tech,P,72,225,5.22,,,,,
Dayton,Balvanz,Louisiana-Monroe,P,77,200,4.97,,,,,
Harry,McCollum,Georgetown,P,73,195,,,,,,
Trevor,Bermingham,Ferris State,P,74,205,4.97,,,,,
David,Petroni,Elon,P,72,200,4.94,,,,,
Cameron,Nizialek,Columbia,P,74,206,,,,,,
Ken,Kester,Colorado State-Pueblo,P,73,233,,,,,,
Austin,Kilcullen,Abilene Christian,P,75,215,,,,,,
